city,x,y
Adama,-100,-45
Addis Ababa,-125,-25
Adigrat,-45,260
Adwa,-145,275
Aksum,-160,280
Alaba Kulito,-140,-130
Alamata,-55,185
Ambo,-175,-15
Arba Minch,-190,-240
Areka,-165,-160
Arsi Negele,-105,-110
Asella,-90,-80
Assosa,-380,65
Awassa,-115,-155
Bahir Dar,-195,145
Bale Robe,-40,-135
Batu,-105,-85
Bishoftu,-105,-15
Boditi,-170,-165
Burayu,-135,-15
Butajira,-125,-85
Chiro,15,0
Debre Birhan,-85,25
Debre Markos,-155,75
Debre Tabor,-155,160
Dessie,-65,115
Dilla,-110,-190
Dire Dawa,50,20
Durame,-145,-140
Gambela,-385,-65
Gode,180,-140
Gondar,-200,210
Harar,95,5
Hosaena,-150,-125
Jijiga,120,5
Jimma,-255,-105
Kombolcha,-65,110
Mekelle,-50,225
Meki,-110,-65
Negele Borana,0,-245
Nekemte,-265,5
Sebeta,-135,-30
Semera,125,110
Shashamane,-105,-130
Shire,-185,285
Sodo,-175,-175
Tepi,-335,-150
Waliso,-175,-50
Weldiya,-65,165
Welkite,-180,-65
